CustomerID,Recommendations
C0001,"[('C0097', 0.548), ('C0194', 0.47), ('C0199', 0.438)]"
C0002,"[('C0091', 0.38), ('C0030', 0.373), ('C0071', 0.33)]"
C0003,"[('C0134', 0.52), ('C0181', 0.518), ('C0144', 0.4)]"
C0004,"[('C0070', 0.499), ('C0132', 0.384), ('C0063', 0.336)]"
C0005,"[('C0096', 0.648), ('C0055', 0.514), ('C0064', 0.333)]"
C0006,"[('C0058', 0.649), ('C0040', 0.58), ('C0196', 0.464)]"
C0007,"[('C0020', 0.588), ('C0079', 0.496), ('C0026', 0.363)]"
C0008,"[('C0144', 0.392), ('C0088', 0.34), ('C0165', 0.321)]"
C0009,"[('C0140', 0.56), ('C0162', 0.513), ('C0129', 0.429)]"
C0010,"[('C0033', 0.487), ('C0077', 0.425), ('C0094', 0.406)]"
C0011,"[('C0135', 0.484), ('C0120', 0.357), ('C0173', 0.331)]"
C0012,"[('C0101', 0.444), ('C0066', 0.396), ('C0052', 0.367)]"
C0013,"[('C0058', 0.535), ('C0040', 0.478), ('C0169', 0.441)]"
C0014,"[('C0128', 0.894), ('C0159', 0.784), ('C0136', 0.462)]"
C0015,"[('C0073', 0.632), ('C0036', 0.607), ('C0059', 0.457)]"
C0016,"[('C0187', 0.645), ('C0052', 0.52), ('C0064', 0.461)]"
C0017,"[('C0037', 0.399), ('C0071', 0.385), ('C0183', 0.346)]"
C0018,"[('C0177', 0.394), ('C0064', 0.357), ('C0081', 0.35)]"
C0019,"[('C0083', 0.49), ('C0064', 0.488), ('C0039', 0.465)]"
C0020,"[('C0026', 0.617), ('C0007', 0.588), ('C0104', 0.489)]"
